word,correction,,
CHẾ,CHẼ,,
TẺ,TẾ,,
tông,tổng,,
nguôn,nguồn,,
vôn,vốn,,
CAO ĐẢNG,CAO ĐẲNG,,
nhau viên,nhân viên,,
tháng/0, tháng 10,,
$,13,,
/0,10,,
Thị đua,Thi đua,,
tô chức,tổ chức,,
giải thê,giải thể,,
cấp đôi,cấp đổi,,
cấp đồi,cấp đổi,,
tô dân, tổ dân,,
4I,31,,
VÀ ĐÓ,VÀ ĐÀO TẠO,,
BÁO CÁ,BÁO CÁO,,
phát triên, phát triển,,
kinh tê,kinh tế,,
ĐÉN,ĐẾN,,
QUYÈN,QUYỀN,,
ĐẺ,ĐỂ,,
thông tần,thông tấn,,
thấm quyền,thẩm quyền,,
dược gọi,được gọi,,
sinh sông, sinh sống,,
thâm quyên,thẩm quyền,,
tầng hâm,tầng hầm,,
Điễm đ,Điểm đ,,
7zưởờng,trường,,
hợp động,hợp đồng,,
phân điện,phần diện,,
quyên,quyền,,
đâu tư,đầu tư,,
chỉ phí,chi phí,,
Phân,Phần,,
Hữm,Hữu,,
hiữu,hữu,,
tẳng hâm,tầng hầm,,
tằng hẳm,tầng hầm,,
tâng hẳm,tầng hầm,,
Cw°,Cư,,
bắt lỳ,bất kỳ,,
fô,tô,,
Bên Bản,Bên Bán,,
phân bồ,phân bổ,,
Hợp Đông,Hợp Đồng,,
quy đỉnh,quy định,,
đầu tự,đầu tư,,
toàn quyên,toàn quyền,,
øồm,gồm,,
đê xe,để xe,,
14.774,4m?,14.774,4m2
/ề,Về,,
\g,phương,,
chuyên gìa,chuyên gia,,
đợt ],đợt 1,,
tua BỂ,tỉnh Bắc,,
BỂ Nai,Bắc Ninh,,
khách,khách sạnđầu tr,,
bảo cáo,báo cáo,,
địch tế,dịch tễ,,
chuyển gia,chuyên gia,,
cắp giấy,cấp giấy,,
tiên lành,tiến hành,,
xế nghệ,xét nghiệm,,
Hân Quốc,Hàn Quốc,,
ngảy,ngày,,
Hàng ngây,Hàng ngày,,
Ôn định,ổn định,,
đầu tr,đầu tư,,
khơi giảng,khai giảng,,
Ngòy,Ngày,,
Đợi học,Đại học,,
Phơn Thiết,Phan Thiết,,
vò,và,,
trao bồng,trao bằng,,
Quẻổn,Quản,,
doœnh,doanh,,
Cdo học,Cao học,,
Đôy,Đây,,
lò hơi,là hai,,
quơn trọng,quan trọng,,
đónh dếu,đánh dấu,,
hènh trình,hành trình,,
giổng dọy,giảng dạy,,
củo,của,,
cứn bộ,cán bộ,,
†oờn †rường,toàn trường,,
công nhộn,công nhận,,
cới nhìn,cái nhìn,,
giớo dục,giáo dục,,
đòo †ạo,đào tạo,,
Quỏn trị,Quản trị,,
địo bèn,địa bàn,,
Trên Trọng,Trân Trọng,,
CHÍNH HTRỊ,CHÍNH TRỊ,,
sửa đôi,sửa đổi,,
tô chức,tổ chức,,
ngày3ƒ,ngày 31,,
sô,số,,
cập cứu,cấp cứu,,
khân cấp,khẩn cấp,,
tôi thiểu,tối thiểu,,
lớn cộng,công cộng,,
ð dịch,ổ dịch,,
chiên đấu,chiến đấu,,
Tẻ chức,Tổ chức,,
lằn,lần,,
lỗi mở,lối mở,,
chân chỉnh,chấn chỉnh,,
hiểu nhằm,hiểu nhầm,,
quý H,quý II,,
Địa đi,Địa điểm,,
Lượng Thị,Lương Thị,,
sửa đôi,sửa đổi,,
bô sung,bổ sung,,
tô chức,tổ chức,,
họp lệ,hợp lệ,,
ông số,tổng số,,
bỗ sung,bổ sung,,
vào hỗi,vào hồi,,
SỐ GDÁ,SỞ GD &,,
CHÚ NGHỈA,CHỦ NGHĨA,,
BIỀN BẢN,BIỂN BẢN,,
Hiệu trường,Hiệu trưởng,,
biển bản,biên bản,,
biên bán,biên bản,,
bồ sung,bổ sung,,
sơ lâm,sở làm,,
BIỀN BẢN,BIÊN BẢN,,
Trường ban,Trưởng ban,,
BIỀN BÁN,BIÊN BẢN,,
Trần trong,Trân trọng,,
BÁO CHỈ,BÁO CHÍ,,
#NAME?,"""Lễ",,
Trao bàng,trao bằng,,
đơn vi,đơn vị,,
sĩ,sẽ,,
khại giống,khai giảng,,
Quản tri,Quản trị,,
cổ ý,có ý,,
tập thề,tập thể,,
Thợc sĩ,Thạc sĩ,,
dịp đề,dịp để,,
nõ lực,nỗ lực,,
cổ gồng,cố gắng,,
cổ được,có được,,
cẩm hứng,cảm hứng,,
không khi,không khí,,
vi lãnh,vị lãnh,,
Đoàn thề,Đoàn thể,,
toàn thề,toản thể,,
cẩn bộ,cán bộ,,
PHONG GD8,PHÒNG GD &,,
MĂM NON,MẦM NON,,
sửa đồi,sửa đổi,,
bố sung,bổ sung,,
hồ trợ,hỗ trợ,,
Chú tịch,Chủ tịch,,
hướng dần,hướng dẫn,,
Niêm vết,Niêm yết,,
bàng tin,bảng tin,,
điều gi,điều gì,,
sễ,sẽ,,
Chú tài,Chủ tài,,
thông quả,thông qua,,
nhất tri,nhất trí,,
trí 1009,trí 100%,,
Biên bán,Biển bản,,
PHIỀN TRƯỜNG,HIỆU TRƯỞNG,,
CHÚ NGHĨA,CHỦ NGHĨA,,
DẦU TƯ,ĐẦU TƯ,,
DÂN DUNG,DÂN DỤNG,,
CỎ ĐÔNG,CỔ ĐÔNG,,
DÂN DỰNG,DÂN DỤNG,,
Phú tổng,Phó tổng,,
Phát triền,Phát triển,,
Phú phòng,Phó phòng,,
Phát triên,Phát triển,,
kiềm tra,kiểm tra,,
đu điều,đủ điều,,
phố thông,phổ thông,,
biều quyết,biểu quyết,,
dú tư,đủ tư,,
cổ dông,cổ đông,,
uỹ quyền,ủy quyền,,
Cẩn cử,Căn cứ,,
Dân dung,Dân dụng,,
CHÚ NGHĩA ,CHỦ NGHĨA,,
THỐNG BÁO,THÔNG BÁO,,
trung với,trùng với,,
nghi bủ,nghỉ bù,,
nghi lễ,nghỉ lễ,,
Vu Quản,Vụ Quản,,
bồi dưõng,bồi dưỡng,,
cẩn bộ,cán bộ,,
VĂN PHONG,VĂN PHÒNG,,
việc nghi,việc nghỉ,,
CHÚ NGHĩA,CHỦ NGHĨA,,
CỘNG HOÁ,CỘNG HÒA,,
NGÀY BAN,ỦY BAN,,
BA CHẾ,BA CHẼ,,
Ba Chễ,Ba Chẽ,,
XT,XI,,
năm tình,nắm tình,,
ĐẶC ĐIỀM,ĐẶC ĐIỂM,,
đặc điềm,đặc điểm,,
90+,90%,,
1.136111111,22.316,,
80+,80%,,
"62,02+",62.02%,,
Tỉnh hình,Tình hình,,
chuyễn biến,chuyển biến,,
vung miền,vùng miền,,
vũng đặc,vùng đặc,,
mục tiều,mục tiêu,,
giảm nghẹo,giảm nghèo,,
bên vĩng,bền vững,,
tỉnh gon,tinh gọn,,
đâm bảo,đảm bảo,,
Chuyến dịch,Chuyển dịch,,
cơ cầu,cơ cấu,,
SỎ,SỞ,,
đôn chuyền,đón chuyên,,
Số Y,Sở Y,,
thông cảo,thông cáo,,
bảo chí,báo chí,,
lâm việc,làm việc,,
chặt chễ,chặt chẽ,,
đi chuyến,di chuyển,,
phân xường,phân xưởng,,
dịch tế,dịch tễ,,
chuyền gia,chuyên gia,,
cẩn bộ,cán bộ,,
triền khai,triển khai,,
Sơ,Sở,,
chức đốn,chức đón,,
Tpi,Tại,,
mội dung,nội dung,,
khứ khuẩn,khử khuẩn,,
JấC,J&C,,
ngày dễ,ngày để,,
tiền hành,tiến hành,,
lâm xét,làm xét,,
nều cổ,nếu có,,
xết nghiệm,xét nghiệm,,
đi lâm,đi làm,,
di chuyền,di chuyển,,
chật chề,chặt chẽ,,
Đâm bảo,Đảm bảo,,
giữa đoán,giữa đoán,,
chuyện gia,chuyên gia,,
đưa đốn,đưa đón,,
ổ tổ,ô tô,,
sức khóc,sức khỏe,,
thần nhiệt,thân nhiệt,,
chuyền dụng,chuyên dụng,,
khứ trung,khử trùng,,
được lâm,được làm,,
Số Y,Sở Y,,
Kiềm soát,Kiểm soát,,
Thông bảo,Thông báo,,
đề các,đề các,,
người đân,người dân,,
biểt,biết,,
đôn chuyên,đón chuyên,,
